HIP	ha_calc_uncorr	ha_obs	dec_calc_uncorr	dec_obs	Date
24608	0.6994541778824583	0.7736111111111112	46.014617555060795	46.01583333333333	2018-02-06 00:00:00
31681	-0.1460361271817261	-0.07194444444444414	16.37991180355764	16.396666666666665	2018-02-06 00:00:00
25428	1.1260062751599245	1.1997222222222215	28.619795463163218	28.638333333333332	2018-02-06 00:00:00
28380	0.6506518751008361	0.7247222222222227	37.21130116225351	37.24527777777778	2018-02-06 00:00:00
36850	-0.8459731599359586	-0.7716666666666665	31.84535682397419	31.8475	2018-02-06 00:00:00
37826	-0.9404959916441067	-0.8661111111111115	27.97933987526848	27.984166666666667	2018-02-06 00:00:00
37279	-0.7542900049315788	-0.6797222222222219	5.1746757778952475	5.206944444444445	2018-02-06 00:00:00
27989	1.0973972161469945	1.1708333333333334	7.4060613106659	7.461388888888889	2018-02-06 00:00:00
25336	1.8149223926029174	1.8886111111111115	6.361568841639691	6.420555555555556	2018-02-06 00:00:00
21421	-2.779602259565646	-2.761666666666666	16.542350522463533	16.51361111111111	2017-11-22 00:00:00
24436	-3.369308512342509	-3.353888888888889	-8.18316479393192	-8.166944444444443	2017-11-22 00:00:00
25336	-3.489725106187783	-3.4755555555555553	6.363190416126535	6.379722222222222	2017-11-22 00:00:00
25428	-3.4586195197042144	-3.4450000000000003	28.618803803562205	28.612222222222222	2017-11-22 00:00:00
24608	-3.1338087941929644	-3.1199999999999997	46.0116466732144	45.95194444444445	2017-11-22 00:00:00
15863	-1.2108129594885693	-1.1974999999999998	49.92253464076045	49.83388888888889	2017-11-22 00:00:00
677	2.2485465323408897	2.2616666666666667	29.191061560020078	29.19472222222222	2017-11-22 00:00:00
113881	3.380966137093509	3.3941666666666634	28.182866033958607	28.192777777777778	2017-11-22 00:00:00
102098	0.19928619535277647	0.1941666666666677	45.35027719839482	45.27861111111111	2017-10-17 00:00:00
100453	0.768887944345412	0.7636111111111106	40.320107444060575	40.24916666666667	2017-10-17 00:00:00
91262	2.641232099383828	2.6361111111111093	38.807550072506984	38.72361111111111	2017-10-17 00:00:00
5447	-3.7458610478802363	-3.7511111111111113	35.714766729878946	35.624722222222225	2017-10-17 00:00:00
4427	-3.4139654527799017	-3.418333333333333	60.81294914055006	60.72083333333334	2017-10-17 00:00:00
97649	1.805996604791659	1.8000000000000007	8.920302853678557	8.832222222222223	2017-10-17 00:00:00
107315	0.01566985904978324	0.01055555555555543	9.960036350029885	9.926666666666666	2017-10-17 00:00:00
113963	-1.2609220606887241	-1.2661111111111119	15.303323180169368	15.285555555555556	2017-10-17 00:00:00
677	-2.2554193273685854	-2.261111111111113	29.190074952017333	29.175555555555558	2017-10-17 00:00:00
54061	11.354185629157872	11.351944444444445	61.65345305260663	61.51416666666667	2017-10-17 00:00:00
113881	-0.24416616289511595	-0.2508333333333326	28.18221863372365	27.96722222222222	2017-10-17 00:00:00
105199	1.6162299002994516	1.6102777777777781	62.66689341927784	62.476111111111116	2017-10-17 00:00:00
102488	2.2177964902651404	2.2108333333333334	34.04282194018205	33.82833333333333	2017-10-17 00:00:00
746	-1.069603056047022	-1.0755555555555532	59.249416632030666	59.04861111111111	2017-10-17 00:00:00
3179	-1.5427124213214114	-1.5494444444444468	56.63541556134117	56.425	2017-10-17 00:00:00
9884	-2.919885595787001	-2.9263888888888907	23.545351809048164	23.37361111111111	2017-10-17 00:00:00
50583	0.7948766290631752	0.8013888888888872	19.748689604903856	19.01861111111111	2018-04-19 00:00:00
